date,timestamp,site,region,vendor,service_type,volume,capacity,sla_pct,backlog,overtime_hours,operating_cost,cost_per_unit,avg_tat_mins,quality_pct,exceptions,utilization_pct
2026-01-01,2026-01-01 00:00,Chennai Hub,South,SwiftLog,Express,133,156,98.55,0,4.31,7720.25,58.05,44.2,99.2,0,85.26
2026-01-01,2026-01-01 01:13,Mumbai Hub,West,MetroServe,Express,228,188,91.41,21,11.08,14052.68,61.63,64.5,98.19,2,121.28
2026-01-01,2026-01-01 02:26,Bengaluru Hub,South,PrimeMove,Express,201,182,97.13,37,6.83,12791.0,63.64,54.4,97.48,1,110.44
2026-01-01,2026-01-01 03:39,Delhi Hub,North,SwiftLog,Standard,137,208,99.27,0,0,6408.17,46.77,42.5,99.47,0,65.87
2026-01-01,2026-01-01 04:52,Mumbai Hub,West,RapidEx,Priority,157,218,99.32,0,0,9671.4,61.6,36.5,99.68,0,72.02
2026-01-01,2026-01-01 05:05,Hyderabad Hub,South,RapidEx,Express,159,120,87.16,57,17.42,11152.29,70.14,74.4,98.1,4,132.5
2026-01-01,2026-01-01 06:18,Mumbai Hub,West,PrimeMove,Standard,219,221,98.07,1,0,11028.21,50.36,47.2,99.24,0,99.1
2026-01-01,2026-01-01 07:31,Chennai Hub,South,MetroServe,Standard,124,146,96.08,0,9.39,6509.42,52.5,35.3,99.13,0,84.93
2026-01-01,2026-01-01 08:44,Mumbai Hub,West,RapidEx,Standard,211,182,97.53,0,3.59,11317.41,53.64,54.3,99.82,1,115.93
2026-01-01,2026-01-01 09:57,Chennai Hub,South,MetroServe,Same Day,180,148,93.76,17,14.14,13069.88,72.61,59.9,97.72,2,121.62
2026-01-01,2026-01-01 10:10,Pune Hub,West,MetroServe,Priority,172,129,90.73,30,18.5,12443.64,72.35,65.4,98.73,3,133.33
2026-01-01,2026-01-01 11:23,Bengaluru Hub,South,Axis Logistics,Express,173,221,96.03,0,0.36,10547.05,60.97,43.6,99.04,0,78.28
2026-01-01,2026-01-01 12:36,Delhi Hub,North,SwiftLog,Priority,160,193,100,0,0,10125.79,63.29,41.1,99.78,0,82.9
2026-01-01,2026-01-01 13:49,Chennai Hub,South,RapidEx,Standard,100,128,99.44,0,0,4798.74,47.99,42.8,99.14,0,78.12
2026-01-01,2026-01-01 14:02,Hyderabad Hub,South,RapidEx,Standard,156,155,96.6,8,5.12,7954.07,50.99,53.3,98.45,0,100.65
2026-01-01,2026-01-01 15:15,Chennai Hub,South,MetroServe,Standard,118,147,100,0,2.49,5899.13,49.99,35.2,99.58,0,80.27
2026-01-01,2026-01-01 16:28,Mumbai Hub,West,SwiftLog,Express,180,167,99.44,19,10.81,11559.52,64.22,56.6,99.0,1,107.78
2026-01-01,2026-01-01 17:41,Hyderabad Hub,South,SwiftLog,Express,170,184,100,0,1.3,9726.47,57.21,40.6,99.13,0,92.39
2026-01-01,2026-01-01 18:54,Delhi Hub,North,SwiftLog,Express,267,195,90.28,58,18.88,18845.32,70.58,70.4,98.13,4,136.92
2026-01-01,2026-01-01 19:07,Pune Hub,West,PrimeMove,Express,132,159,100,0,1.79,7833.75,59.35,46.3,98.83,0,83.02
2026-01-01,2026-01-01 20:20,Mumbai Hub,West,MetroServe,Express,206,228,99.9,0,4.99,12733.51,61.81,40.3,98.76,0,90.35
2026-01-01,2026-01-01 21:33,Hyderabad Hub,South,MetroServe,Standard,106,164,99.3,0,0,5356.19,50.53,40.9,99.47,0,64.63
2026-01-01,2026-01-01 22:46,Mumbai Hub,West,SwiftLog,Standard,257,202,94.56,46,22.54,16493.07,64.18,66.0,98.37,4,127.23
2026-01-01,2026-01-01 23:59,Hyderabad Hub,South,PrimeMove,Standard,131,177,100,0,0,6781.71,51.77,45.7,99.23,0,74.01
2026-01-02,2026-01-02 00:12,Chennai Hub,South,MetroServe,Express,132,156,96.67,0,0,8045.26,60.95,41.9,99.71,0,84.62
2026-01-02,2026-01-02 01:25,Bengaluru Hub,South,SwiftLog,Express,187,190,100,0,2.04,11068.22,59.19,48.2,99.11,0,98.42
2026-01-02,2026-01-02 02:38,Chennai Hub,South,RapidEx,Standard,129,129,97.24,12,11.13,7454.23,57.78,45.1,99.2,0,100.0
2026-01-02,2026-01-02 03:51,Pune Hub,West,SwiftLog,Standard,101,112,100,0,0,4839.96,47.92,45.8,99.79,0,90.18
